pair_id,img1,img2,gt_txt,n_inliers,inlier_rmse_px,mse_matrix,mse_sar50,out_dir
36,pair36_1.jpg,pair36_2.jpg,gt_36.txt,3,0.000001,841336.805833,797494110.706417,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_36
37,pair37_1.jpg,pair37_2.jpg,gt_37.txt,4,0.927773,46141.639555,14659779964919181312.000000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_37
38,pair38_1.jpg,pair38_2.jpg,gt_38.txt,4,0.573539,143229.859469,100686081177.562912,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_38
39,pair39_1.jpg,pair39_2.jpg,gt_39.txt,3,0.000000,1943579.787419,11712454.343177,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_39
40,pair40_1.jpg,pair40_2.jpg,gt_40.txt,4,1.118928,24162.827639,442393870.529002,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_40
41,pair41_1.jpg,pair41_2.jpg,gt_41.txt,4,0.842548,92455.109175,52052168094311.351562,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_41
42,pair42_1.jpg,pair42_2.jpg,gt_42.txt,3,0.000000,77495.596419,33877109914669.910156,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_42
43,pair43_1.jpg,pair43_2.jpg,gt_43.txt,3,0.000000,20869967.624546,977980.550298,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_43
44,pair44_1.jpg,pair44_2.jpg,gt_44.txt,4,0.223833,118340.232524,10683313.138082,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_44
45,pair45_1.jpg,pair45_2.jpg,gt_45.txt,4,0.654831,14019815.434733,9975411.838017,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_45
46,pair46_1.jpg,pair46_2.jpg,gt_46.txt,4,0.444305,344738.668525,177103883066.526520,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_46
47,pair47_1.jpg,pair47_2.jpg,gt_47.txt,4,0.755077,825470.172211,21376341.416495,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_47
48,pair48_1.jpg,pair48_2.jpg,gt_48.txt,4,0.832688,175548.892923,92099653.578016,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_48
